date,site,orders_shipped,late_orders,returns,inventory_variance_percent
2026-08-18,Seattle,1240,37,21,0.8
2026-08-18,Phoenix,980,65,39,-2.8
2026-08-18,Dallas,1110,43,26,1.1
2026-08-19,Seattle,1285,42,24,0.7
2026-08-19,Phoenix,1020,71,42,-3.1
2026-08-19,Dallas,1095,39,25,1.3
2026-08-20,Seattle,1310,44,27,0.9
2026-08-20,Phoenix,995,76,41,-3.4
2026-08-20,Dallas,1140,47,28,1.0
2026-08-21,Seattle,1275,41,22,0.6
2026-08-21,Phoenix,1045,83,44,-3.7
2026-08-21,Dallas,1165,49,31,1.2
2026-08-22,Seattle,1190,35,20,0.5
2026-08-22,Phoenix,1015,79,43,-3.5
2026-08-22,Dallas,1080,46,30,1.4
